,name,provider,domain,base_uri,download_url,syntax,added_when,last_modified,imports
0,Vehicle,Catena-X,Transport,https://w3id.org/catenax/ontology/vehicle#,https://raw.githubusercontent.com/catenax-ng/product-ontology/main/ontology/vehicle_ontology.ttl,Turtle,2024-08-11,never,
1,Dcat,W3C,Data,http://www.w3.org/ns/dcat#,https://www.w3.org/ns/dcat2.ttl,Turtle,2024-08-12,never,
2,Datatourisme,Adn-Tourisme,Tourism,https://www.datatourisme.fr/ontology/core,https://www.datatourisme.fr/ontology/core/ontology.ttl,Turtle,2024-08-12,never,
3,Era,European Union Agency For Railways,Transport,http://data.europa.eu/949/,https://data-interop.era.europa.eu/era-vocabulary/ontology.ttl,Turtle,2024-08-13,never,
4,Core Ontology,Gaia-X,Data,http://w3id.org/gaia-x/core#,https://gaia-x.gitlab.io/gaia-x-community/gaia-x-self-descriptions/core/ontology.ttl,Turtle,2024-08-13,never,
5,Odrl,W3C,Data,http://www.w3.org/ns/odrl/2/,https://www.w3.org/ns/odrl/2/ODRL22.ttl,Turtle,2024-08-13,never,
6,Metadata Terms,Dublin Core,Data,http://purl.org/dc/elements/1.1/,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.ttl,Turtle,2024-08-13,never,
7,Skos,W3C,Data,http://www.w3.org/2004/02/skos/core#,https://www.w3.org/TR/skos-reference/skos.rdf,RDF/XML,2024-08-13,never,
8,Core,Catena-X,Transport,https://w3id.org/catenax/ontology/core#,https://raw.githubusercontent.com/big-data-spaces/ontology/v24.05/ontology/core_ontology.ttl,Turtle,2024-08-13,never,
9,Prov-O,W3C,Data,http://www.w3.org/ns/prov#,https://www.w3.org/ns/prov-o,Turtle,2024-08-13,never,
10,Transmodel Commons,Snap,Mobility,https://w3id.org/transmodel/commons#,https://oeg-upm.github.io/snap-docs/tm-commons.owl/documentation/ontology.ttl,Turtle,2024-08-13,never,
11,Transmodel Fares,Snap,Mobility,https://w3id.org/transmodel/fares#,https://oeg-upm.github.io/snap-docs/tm-fares.owl/documentation/ontology.ttl,Turtle,2024-08-13,never,
12,Transmodel Journeys,Snap,Mobility,https://w3id.org/transmodel/journeys#,https://oeg-upm.github.io/snap-docs/tm-journeys.owl/documentation/ontology.ttl,Turtle,2024-08-13,never,
13,Transmodel Organisations,Snap,Mobility,http://www.w3.org/ns/org#,https://oeg-upm.github.io/snap-docs/tm-organisations.owl/documentation/ontology.ttl,Turtle,2024-08-13,never,
14,Transmodel Facilities,Snap,Mobility,https://w3id.org/transmodel/facilities#,https://oeg-upm.github.io/snap-docs/tm-facilities.owl/documentation/ontology.ttl,Turtle,2024-08-13,never,
15,Foaf,Xmlns,Cross-Domain,http://xmlns.com/foaf/0.1/,http://xmlns.com/foaf/spec/index.rdf,RDF/XML,2024-08-13,never,
16,Vann,Ian Davis,Data,http://purl.org/vocab/vann,https://vocab.org/vann/vann-vocab-20100607.rdf,RDF/XML,2024-08-13,never,
17,Vehicle,University Of Toronto,Transport,http://ontology.eil.utoronto.ca/icity/Vehicle/,https://enterpriseintegrationlab.github.io/icity/Vehicle/Vehicle_1.2/doc/ontology.ttl,Turtle,2024-08-13,never,
18,Geosparql,Open Gis,Cross-Domain,http://www.opengis.net/ont/geosparql/,http://www.opengis.net/ont/geosparql,Turtle,2024-08-13,never,
19,Schema.Org,Schema.Org,Cross-Domain,https://schema.org/,https://schema.org/,RDF/XML,2024-08-13,never,
20,Data Quality,W3C,Data,http://www.w3.org/ns/dqv#,https://raw.githubusercontent.com/w3c/dwbp/gh-pages/dqv.ttl,Turtle,2024-08-14,never,
21,Trip,University Of Toronto,Tourism,http://ontology.eil.utoronto.ca/icity/Trip/,https://enterpriseintegrationlab.github.io/icity/Trip/doc/ontology.ttl,Turtle,2024-08-14,never,
22,Organization,W3C,Cross-Domain,http://www.w3.org/ns/org#,https://www.w3.org/ns/org.ttl,Turtle,2024-08-15,never,
23,Opening Hours,Pieter Colpaert,Cross-Domain,http://semweb.mmlab.be/ns/oh#,https://raw.githubusercontent.com/pietercolpaert/openinghoursontology/master/oh.ttl,Turtle,2024-08-15,never,
