,name,provider,domain,base_uri,download_url,syntax,added_when,last_modified,imports
0,Vehicle,Catena-X,Transport,https://w3id.org/catenax/ontology/vehicle,https://raw.githubusercontent.com/catenax-ng/product-ontology/main/ontology/vehicle_ontology.ttl,Turtle,2024-08-11,2024-08-15 19:52:10,"['https://w3id.org/catenax/ontology/vehicle', 'http://purl.org/dc/elements/1.1', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema', 'https://json-schema.org/draft/2020-12/schema', 'https://w3id.org/catenax/ontology/core', 'https://w3id.org/catenax/ontology/vehicle']"
1,Dcat,W3C,Data,http://www.w3.org/ns/dcat,https://www.w3.org/ns/dcat2.ttl,Turtle,2024-08-12,2024-08-15 19:52:10,[]
2,Datatourisme,Adn-Tourisme,Tourism,https://www.datatourisme.fr/ontology/core,https://www.datatourisme.fr/ontology/core/ontology.ttl,Turtle,2024-08-12,2024-08-15 19:52:10,"['https://www.datatourisme.fr/ontology/core', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
3,Era,European Union Agency For Railways,Transport,http://data.europa.eu/949,https://data-interop.era.europa.eu/era-vocabulary/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://data.europa.eu/949', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
4,Core Ontology,Gaia-X,Data,http://w3id.org/gaia-x/core,https://gaia-x.gitlab.io/gaia-x-community/gaia-x-self-descriptions/core/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://w3id.org/gaia-x/core', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
5,Odrl,W3C,Data,http://www.w3.org/ns/odrl/2,https://www.w3.org/ns/odrl/2/ODRL22.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/ns/odrl/2', 'http://www.w3.org/ns/odrl/2', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2004/02/skos/core', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2001/XMLSchema', 'http://purl.org/dc/terms', 'http://schema.org', 'http://xmlns.com/foaf/0.1', 'http://www.w3.org/2006/vcard/ns', 'http://creativecommons.org/ns']"
6,Metadata Terms,Dublin Core,Data,http://purl.org/dc/elements/1.1,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2004/02/skos/core', 'http://purl.org/dc/dcam', 'http://purl.org/dc/terms', 'http://www.w3.org/2000/01/rdf-schema']"
7,Skos,W3C,Data,http://www.w3.org/2004/02/skos/core,https://www.w3.org/TR/skos-reference/skos.rdf,RDF/XML,2024-08-13,2024-08-15 19:52:10,"['http://purl.org/dc/terms', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2004/02/skos/core', 'http://www.w3.org/2004/02/skos/core']"
8,Core,Catena-X,Transport,https://w3id.org/catenax/ontology/core,https://raw.githubusercontent.com/big-data-spaces/ontology/v24.05/ontology/core_ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://purl.org/dc/elements/1.1', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema', 'https://w3id.org/catenax/ontology/core', 'https://w3id.org/catenax/ontology/core']"
9,Prov-O,W3C,Data,http://www.w3.org/ns/prov,https://www.w3.org/ns/prov-o,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/ns/prov', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2001/XMLSchema']"
