,name,provider,domain,base_uri,download_url,syntax,added_when,last_modified,imports,count_uri
35,Abstract Model,Dublin Core,Tourism,http://purl.org/dc/dcam,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_abstract_model.ttl,Turtle,2024-08-20,2024-08-20 20:52:00,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2004/02/skos/core', 'http://purl.org/dc/dcam', 'http://purl.org/dc/terms', 'http://www.w3.org/2000/01/rdf-schema']",6.0
36,Linked Data Quality Metrics,Jeremy Debattista,Data,http://purl.org/eis/vocab/dqm,https://raw.githubusercontent.com/diachron/quality/master/quality-vocabulary/src/main/resources/vocabularies/dqm/dqm.ttl,Turtle,2024-08-20,2024-08-20 21:11:48,"['http://purl.org/eis/vocab/daq', 'http://purl.org/eis/vocab/dqm', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2004/03/trix/rdfg-1', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2001/XMLSchema', 'http://purl.org/eis/vocab/qpro', 'http://www.w3.org/ns/prov', 'http://purl.org/dc/elements/1.1', 'http://purl.org/vocab/vann', 'http://purl.org/dc/terms', 'http://xmlns.com/foaf/0.1', 'http://purl.org/eis/vocab/dqm']",13.0
37,Activity Streams,W3C,Cross-Domain,http://www.w3.org/ns/activitystreams,https://raw.githubusercontent.com/w3c/activitystreams/main/vocabulary/activitystreams2.owl,Turtle,2024-08-20,2024-08-20 21:11:48,"['http://www.w3.org/ns/activitystreams', 'http://www.w3.org/ns/activitystreams', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
38,Dataset Usage,W3C,Data,http://www.w3.org/ns/duv,https://www.w3.org/ns/duv,Turtle,2024-08-20,2024-08-20 21:11:48,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2002/07/owl', 'http://purl.org/spar/biro', 'http://xmlns.com/foaf/0.1', 'http://purl.org/dc/terms', 'http://rdf-vocabulary.ddialliance.org/discovery', 'http://purl.org/pav', 'http://www.w3.org/2001/XMLSchema', 'http://purl.org/vocab/vann', 'http://xmlns.com/foaf/0.1', 'http://purl.org/vocab/frbr/core', 'http://www.w3.org/2000/01/rdf-schema', 'http://purl.org/vocommons/voaf', 'http://www.w3.org/2004/02/skos/core', 'http://www.w3.org/ns/oa', 'http://www.w3.org/ns/dcat', 'http://www.w3.org/ns/dqv', 'http://www.w3.org/ns/duv', 'http://www.w3.org/TR/vocab-duv']",18.0
39,Data Cube,W3C,Data,http://purl.org/linked-data/cube,https://raw.githubusercontent.com/UKGovLD/publishing-statistical-data/master/specs/src/main/vocab/cube.ttl,Turtle,2024-08-20,2024-08-20 21:24:02,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2004/02/skos/core', 'http://xmlns.com/foaf/0.1', 'http://purl.org/NET/scovo', 'http://rdfs.org/ns/void', 'http://purl.org/linked-data/cube', 'http://purl.org/dc/terms']",10.0
40,Basic Access Control,W3C,Data,https://www.w3.org/ns/auth/acl,https://www.w3.org/ns/auth/acl,Turtle,2024-08-21,2024-08-21 09:59:07,"['http://www.w3.org/ns/auth/acl', 'http://purl.org/dc/terms', 'http://xmlns.com/foaf/0.1', 'http://www.w3.org/2006/gen/ont', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2006/vcard/ns', 'http://www.w3.org/2001/XMLSchema']",8.0
41,Tourism,Auroral,Tourism,https://auroral.iot.linkeddata.es/def/tourism,https://raw.githubusercontent.com/oeg-upm/auroral-tourism-ontology/main/ontology/ontology.ttl,Turtle,2024-08-21,2024-08-21 10:11:19,"['https://auroral.iot.linkeddata.es/def/tourism', 'http://purl.org/dc/elements/1.1', 'http://www.opengis.net/ont/sf', 'http://www.w3.org/2003/01/geo/wgs84_pos', 'https://w3id.org/mod', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'https://auroral.iot.linkeddata.es/def/core', 'http://xmlns.com/foaf/0.1', 'http://www.w3.org/2000/01/rdf-schema', 'https://www.w3.org/ns/org', 'https://auroral.iot.linkeddata.es/def/tourism', 'http://lexvo.org/ontology']",14.0
42,Core Location,Semic,Cross-Domain,http://data.europa.eu/m8g,https://raw.githubusercontent.com/SEMICeu/Core-Location-Vocabulary/master/releases/2.1.0/voc/core-location.ttl,Turtle,2024-08-21,2024-08-21 10:40:06,"['http://purl.org/dc/terms', 'http://xmlns.com/foaf/0.1', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'https://schema.org', 'http://www.w3.org/2004/02/skos/core', 'http://www.w3.org/2001/XMLSchema']",8.0
43,Main,Linked Connections,Mobility,http://semweb.mmlab.be/ns/linkedconnections,https://raw.githubusercontent.com/linkedconnections/vocabulary/master/vocabulary.ttl,Turtle,2024-08-21,2024-08-21 11:08:02,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://xmlns.com/foaf/0.1', 'http://purl.org/dc/terms', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2001/XMLSchema', 'http://purl.org/vocab/vann', 'http://www.w3.org/2004/02/skos/core', 'http://semweb.mmlab.be/ns/linkedconnections', 'http://www.w3.org/ns/dcat', 'https://pietercolpaert.be/#me']",11.0
44,Semantic Trajectory Episodes,Tales P. Nogueira,Cross-Domain,http://purl.org/net/step,https://raw.githubusercontent.com/talespaiva/step/gh-pages/ontology/step_v2.rdf,RDF/XML,2024-08-21,2024-08-21 12:20:07,"['http://purl.org/net/step', 'http://purl.org/net/step', 'http://purl.oclc.org/NET/ssnx/qu/qu', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2003/11/swrlb', 'http://www.w3.org/2003/11/swrl', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema', 'http://swrl.stanford.edu/ontologies/3.3/swrla.owl', 'http://www.opengis.net/ont/geosparql', 'http://www.opengis.net/ont/sf', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://purl.org/dc/terms', 'http://www.w3.org/XML/1998/namespace', 'http://purl.org/net/step', 'http://www.w3.org/2006/time', 'http://purl.org/vocab/vann', 'http://www.w3.org/2003/06/sw-vocab-status/ns', 'http://xmlns.com/foaf/0.1', 'http://purl.org/dc/elements/1.1']",18.0
